Date,Open,High,Low,Close
1602864000000,369.61,369.61,367.44,367.44
1602878400000,367.22,369.03,366.75,369.03
1602892800000,365.89,366.72,365.89,366.55
1602907200000,365.66,368.46,364.42,368.46
1602921600000,368.31,368.31,367.74,367.74
1602936000000,368.36,368.36,366.9,368.26
1602950400000,368.11,369.31,366.55,369.31
1602964800000,367.78,367.78,366.65,366.98
1602979200000,366.76,367.82,366.76,367.82
1602993600000,368.65,369.81,368.65,368.84
1603008000000,368.44,374.04,368.44,374.04
1603022400000,374.12,374.12,372.51,372.74
1603036800000,372.77,374.88,372.77,374.88
1603051200000,375.65,376.17,375.56,376.17
1603065600000,375.56,377.16,375.56,377.16
1603080000000,377.97,377.97,375.66,375.77
1603094400000,373.64,375.38,373.64,375.38
1603108800000,374.95,376.14,374.95,375.75
1603123200000,376.28,381.38,376.28,379.04
1603137600000,383.22,383.22,379.23,379.23
1603152000000,379.29,379.5,379.14,379.14
1603166400000,378.88,379.2,378.8,378.8
1603180800000,379.48,379.48,377.68,377.68
1603195200000,374.58,376.56,374.58,376.56
1603209600000,368.06,369.29,368.06,369.29
1603224000000,370.76,371.09,369.99,369.99
1603238400000,368.7,370.2,368.7,369.25
1603252800000,368.31,373.14,368.31,373.14
1603267200000,378.5,380.58,378.5,380.34
1603281600000,379.07,379.31,378.12,379.31
1603296000000,379.1,387.7,379.1,387.7
1603310400000,390.65,396.24,390.65,394.39
1603324800000,391.21,396.11,390.29,390.29
1603339200000,391.17,395.85,391.17,393.43
1603353600000,392.7,395.14,392.7,395.14
1603368000000,395.84,406.14,395.84,406.14
1603382400000,413.74,413.74,412.56,413.57
1603396800000,414.03,417.32,414.03,416.86
1603411200000,416.51,416.93,415.9,415.9
1603425600000,413.56,414.08,411.16,414.08
1603440000000,413.38,416.33,413.17,413.31
1603454400000,412.45,417.75,412.45,417.75
1603468800000,416.02,416.02,416.02,416.02
